LONG,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
2015,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,2.8189,0,0,0,0,0,0,0,0,0
2017,0,0,5.6378,0,0,0,0,0,0,0,0,0
2018,0,0,8.4567,0,0,0,0,0,0,0,0,0
2019,0,0,11.2756,0,0,0,0,0,0,0,0,0
2020,0,0,14.0945,0,0,0,0,0,0,0,0,0
2021,0,0,16.9134,0,0,0,0,0,0,0,0,0
2022,0,0,19.7323,0,0,0,0,0,0,0,0,0
2023,0,0.133665,22.4175,0,0,0,0,0,0,0,0,0
2024,0,2.95256,22.4175,0,0,0,0,0,0,0,0,0
2025,0,5.77146,22.4175,0,0,0,0,0,0,0,0,0
2026,0,8.59036,22.4175,0,0,0,0,0,0,0,0,0
2027,0,11.4093,22.4175,0,0,0,0,0,0,0,0,0
2028,0,12.0339,22.4175,0,0,0,0,0,0,0,0,0
2029,0,12.0339,22.4175,0,0,0,0,0,0,0,0,0
2030,0,12.0339,22.4175,0,0,0,0,0,0,0,0,0
2031,0,12.0339,22.4175,0,0,0,0,0,0,0,0,0
2032,0,12.0339,22.4175,0,0,0,0,0,0,0,0,0
2033,0,12.0339,22.4175,0,0,0,0,0,0,0,0,0
2034,0,12.0339,22.4175,0,0,0,0,0,0,0,0,0
2035,0,12.0339,22.4175,0,0,0,0,0,0,0,0,0
LAV,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
2015,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,2.4746,0,0,0,0,0,0,0,0,0
2017,0,0,4.9492,0,0,0,0,0,0,0,0,0
2018,0,0,7.4238,0,0,0,0,0,0,0,0,0
2019,0,0,9.8984,0,0,0,0,0,0,0,0,0
2020,0,0,12.373,0,0,0,0,0,0,0,0,0
2021,0,0,14.8476,0,0,0,0,0,0,0,0,0
2022,0,0,17.3222,0,0,0,0,0,0,0,0,0
2023,0,1.78325,18.0135,0,0,0,0,0,0,0,0,0
2024,0,3.63508,18.6363,0,0,0,0,0,0,0,0,0
2025,0,5.46408,19.2819,0,0,0,0,0,0,0,0,0
2026,0,7.27072,19.9499,0,0,0,0,0,0,0,0,0
2027,0,9.05357,20.6416,0,0,0,0,0,0,0,0,0
2028,0,10.8136,21.3562,0,0,0,0,0,0,0,0,0
2029,0,12.5494,22.095,0,0,0,0,0,0,0,0,0
2030,0,12.8399,23.8336,0,0,0,0,0,0,0,0,0
2031,0,12.8399,23.8336,0,0,0,0,0,0,0,0,0
2032,0,12.8399,23.8336,0,0,0,0,0,0,0,0,0
2033,0,12.8399,23.8336,0,0,0,0,0,0,0,0,0
2034,0,12.8399,23.8336,0,0,0,0,0,0,0,0,0
2035,0,12.8399,23.8336,0,0,0,0,0,0,0,0,0
CN,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
2015,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,13.5031,0,0,0,0,0,0,0,0
2017,0,0,13.5031,13.5031,0,0,0,0,0,0,0,0
2018,0,5.88476,21.1214,13.5031,0,0,0,0,0,0,0,0
2019,0,19.3879,21.1214,13.5031,0,0,0,0,0,0,0,0
2020,0,32.891,21.1214,13.5031,0,0,0,0,0,0,0,0
2021,0,46.3941,21.1214,13.5031,0,0,0,0,0,0,0,0
2022,0,54.4886,23.8257,16.2074,0,0,0,0,0,0,0,0
