LONG / CV,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,0
2016,0,0,0,0,0,0
2017,0,0,0,0,0,0
2018,0,0,0,0,0,0
2019,0,0,0,0,0,0
2020,0,0,0,0,0,0
2021,0,0,0,0,0,0
2022,0,0,0,0,0,0
2023,0,0,0,0,0,0
2024,0,0,0,0,0,0
2025,0,0,0,0,0,0
2026,0,0,0,0,0,0
2027,0,0,0,0,0,0
2028,0,0,0,0,0,0
2029,0,0,0,0,0,0
2030,0,0,0,0,0,0
2031,0,0,0,0,0,0
2032,0,0,0,0,0,0
2033,0,0,0,0,0,0
2034,0,0,0,0,0,0
2035,0,0,0,0,0,0
BF,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,93106.1
2016,0,0,0,0,0,93106.1
2017,0,0,0,0,0,91191.1
2018,0,0,0,0,0,83532.5
2019,0,0,0,0,0,75883.3
2020,0,0,0,0,0,68244.9
2021,0,0,0,0,0,60624.5
2022,0,0,0,0,0,53021.1
2023,0,0,0,0,0,46708.1
2024,0,0,0,0,0,49978.2
2025,0,0,0,0,0,53248.3
2026,0,0,0,0,0,56518.3
2027,0,0,0,0,0,59788.4
2028,0,0,0,0,0,60729.8
2029,0,0,0,0,0,63551.8
2030,0,0,0,0,0,60513
2031,0,0,0,0,0,60513
2032,0,0,0,0,0,60513
2033,0,0,0,0,0,60513
2034,0,0,0,0,0,60513
2035,0,0,0,0,0,60513
BM,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,279071
2016,0,0,0,0,0,289598
2017,0,0,0,0,0,300125
2018,0,0,0,0,0,310652
2019,0,0,0,0,0,321179
2020,0,0,0,0,0,331706
2021,0,0,0,0,0,342232
2022,0,0,0,0,0,352759
2023,0,0,0,0,0,362013
2024,0,0,0,0,0,361701
2025,0,0,0,0,0,361408
2026,0,0,0,0,0,361132
2027,0,0,0,0,0,360874
2028,0,0,0,0,0,362787
2029,0,0,0,0,0,362787
2030,0,0,0,0,0,306585
2031,0,0,0,0,0,312350
2032,0,0,0,0,0,318254
2033,0,0,0,0,0,324302
2034,0,0,0,0,0,330501
2035,0,0,0,0,0,336853
BD,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,0
2016,0,0,0,0,0,0
2017,0,0,0,0,0,0
2018,0,0,0,0,0,0
2019,0,0,0,0,0,0
2020,0,0,0,0,0,0
2021,0,0,0,0,0,0
2022,0,0,0,0,0,0
2023,0,0,0,0,0,0
2024,0,0,0,0,0,0
2025,0,0,0,0,0,0
2026,0,0,0,0,0,0
2027,0,0,0,0,0,0
2028,0,0,0,0,0,0
2029,0,0,0,0,0,0
2030,0,0,0,0,0,0
2031,0,0,0,0,0,0
2032,0,0,0,0,0,0
2033,0,0,0,0,0,0
2034,0,0,0,0,0,0
2035,0,0,0,0,0,0
IND,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,1647.06
2016,0,0,0,0,0,589.863
2017,0,0,0,0,0,349.617
2018,0,0,0,0,0,109.372
2019,0,0,0,0,0,0
2020,0,0,0,0,0,0
2021,0,0,0,0,0,0
2022,0,0,0,0,0,0
2023,0,0,0,0,0,0
2024,0,0,0,0,0,0
2025,0,0,0,0,0,0
2026,0,0,0,0,0,0
2027,0,0,0,0,0,0
2028,0,0,0,0,0,0
2029,0,0,0,0,0,0
2030,0,0,0,0,0,0
2031,0,0,0,0,0,0
2032,0,0,0,0,0,0
