LONG,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
2015,0,40.13,74.73,0,9.66278,157.29,0,6.3045e+06,2.60233e+07,6.23254e+06,6.69752e+06,324126
2016,0,40.13,77.5489,0,3.46055,114.498,0,4.72268e+06,2.31654e+07,5.54761e+06,5.94425e+06,285328
2017,0,39.3046,80.3678,0,2.0511,78.645,0,3.84753e+06,2.15858e+07,5.16992e+06,5.51033e+06,264166
2018,0,36.0036,83.1867,0,0.64165,78.645,0,3.65259e+06,2.1234e+07,5.07351e+06,5.38164e+06,259938
2019,0,32.7067,86.0056,0,0,77.8772,0,3.53262e+06,2.10156e+07,5.01016e+06,5.28716e+06,257544
2020,0,29.4145,88.8245,0,0,76.4677,0,3.47373e+06,2.09054e+07,4.97365e+06,5.22059e+06,256636
2021,0,26.13,91.6434,0,0,75.0583,0,3.41541e+06,2.07937e+07,4.93701e+06,5.15451e+06,255698
2022,0,22.8528,94.4623,0,0,73.6488,0,3.35765e+06,2.06803e+07,4.90022e+06,5.08889e+06,254730
2023,0,20.1318,96.9402,0,0,72.2394,0,3.30193e+06,2.056e+07,4.86358e+06,5.02812e+06,253589
2024,0,21.5413,96.8567,0,0,70.83,0,3.25771e+06,2.03987e+07,4.82914e+06,5.00023e+06,251351
2025,0,22.9507,96.7781,0,0,69.4205,0,3.21377e+06,2.02369e+07,4.79448e+06,4.97192e+06,249111
2026,0,24.3602,96.7043,0,0,68.011,0,3.17008e+06,2.00744e+07,4.75959e+06,4.94321e+06,246870
2027,0,25.7696,96.6353,0,0,66.6016,0,3.12666e+06,1.99113e+07,4.72446e+06,4.91407e+06,244626
2028,0,26.1754,97.1475,0,0,66.2893,0,3.09933e+06,1.97889e+07,4.69612e+06,4.88567e+06,243063
2029,0,27.3917,97.1475,0,0,66.2893,0,3.07911e+06,1.96666e+07,4.66994e+06,4.86531e+06,241405
2030,0,26.082,82.0976,0,0,66.2893,62081.3,2.78394e+06,1.70393e+07,4.05183e+06,4.24444e+06,209156
2031,0,26.082,83.6413,0,0,66.2893,59175.4,2.77581e+06,1.70706e+07,4.05832e+06,4.24784e+06,209557
2032,0,26.082,85.2224,0,0,66.2893,56149,2.76769e+06,1.7102e+07,4.0648e+06,4.25125e+06,209958
2033,0,26.082,86.842,0,0,66.2893,52996.6,2.75957e+06,1.71333e+07,4.07129e+06,4.25466e+06,210360
2034,0,26.082,88.5018,0,0,66.2893,49713.2,2.75146e+06,1.71647e+07,4.07779e+06,4.25808e+06,210762
2035,0,26.082,90.2028,0,0,66.2893,46295.2,2.74333e+06,1.7196e+07,4.08427e+06,4.26148e+06,211163
LAV,CV,BF,BM,BD,IND,AGR,DUMMYHOUSE,IMPP,IMPE,IMPGN,IMPBIO,IMPA
2015,0,45.77,79.44,0,33.48,88.77,6.395,3.60527e+06,2.23399e+07,7.06757e+06,6.35983e+06,254901
2016,0,45.77,81.9146,0,27.4578,88.77,0,3.26365e+06,2.10501e+07,6.36991e+06,6.02353e+06,241330
2017,0,45.77,84.3892,0,21.4831,88.77,0,2.93086e+06,1.97928e+07,5.69029e+06,5.69572e+06,228096
2018,0,45.77,86.8638,0,15.5669,88.77,0,2.60741e+06,1.85701e+07,5.02977e+06,5.37699e+06,215220
2019,0,45.77,89.3384,0,11.7908,83.6371,0,2.38856e+06,1.77531e+07,4.57727e+06,5.16557e+06,205625
2020,0,45.77,91.813,0,11.7194,69.5137,0,2.34215e+06,1.76061e+07,4.46733e+06,5.13043e+06,201391
2021,0,45.77,94.2876,0,11.7194,55.3615,0,2.29991e+06,1.74735e+07,4.36623e+06,5.09751e+06,197354
2022,0,45.77,96.7622,0,11.7194,41.3567,0,2.25855e+06,1.73424e+07,4.26742e+06,5.06344e+06,193412
2023,0,47.5533,97.4535,0,11.7194,39.5072,0,2.2472e+06,1.72857e+07,4.24052e+06,5.05411e+06,192426
2024,0,49.4051,98.0763,0,11.7194,38.2699,0,2.23718e+06,1.72317e+07,4.217e+06,5.04542e+06,191578
2025,0,51.2341,98.7219,0,11.7194,37.0326,0,2.22699e+06,1.71765e+07,4.19327e+06,5.03606e+06,190722
2026,0,53.0407,99.3899,0,11.7194,35.7953,0,2.21663e+06,1.712e+07,4.16933e+06,5.02601e+06,189857
2027,0,54.8236,100.082,0,11.7194,34.558,0,2.20609e+06,1.70624e+07,4.14517e+06,5.01528e+06,188983
2028,0,56.5836,100.796,0,11.7194,33.3207,0,2.19536e+06,1.70033e+07,4.12078e+06,5.00385e+06,188098
2029,0,58.3194,101.535,0,11.7194,32.0834,0,2.18446e+06,1.6943e+07,4.09616e+06,4.99171e+06,187204
